lfn_sentence,eng_sentence
Tom ia pinti.,Tom was painting.
Tom ia coxea.,Tom limped.
Tom ia ajena.,Tom kneeled.
Tom ia sonia.,Tom was dreaming.
Tom ia aradi.,Tom was plowing.
Tu ia vomiti?,Did you throw up?
Tom va vinse.,Tom will win.
Vos es felis?,Are you guys happy?
Vos es libre?,Are you guys free?
Me gusta pan.,I like bread.
El es malada.,She is sick.
Tu ave tempo.,You have time.
Tu es nervosa.,You're nervous.
Vos es triste.,You're sad.
Me ave un fia.,I have a daughter.
El es mea fia.,She's my daughter.
Do es tua fia?,Where's your daughter?
Tu es mea fia.,You are my daughter.
Vos oia cosas.,You are hearing things.
Esta es folia.,This is madness.
Nun sabe esta.,Nobody knows this.
Tom nada dial.,Tom swims every day.
Tom ama Maria.,Tom loves Mary.
Femes es bela.,Women are beautiful.
Me ama la mar.,I love the ocean.
La mar es blu.,The sea is blue.
Ci va aida me?,Who will help me?
Tom sabe tufa.,Tom knows how to dive.
Me vole nomes.,I want names.
Me gusta nada.,I like to swim.
Nada plase me.,I like to swim.
Nada es fasil.,It is easy to swim.
Lo no importa.,I wouldn't care.
Gusta la gala.,Enjoy the show.
Tu es tenisor.,You are a tennis player.
Me gusta Xina.,I like China.
Me es de Xina.,I am from China.
Esce tu es ge?,Are you gay?
Me vole pasea.,I want to walk.
Tom es asente.,Tom is absent.
Reposa en pas.,Rest in peace.
La site dormi.,The city sleeps.
La musica uni.,Music unites.
Me oia musica.,I hear music.
El ama musica.,He loves music.
Me ama musica.,I love music.
Musica es ama.,Music is love.
On vijila Tom.,Tom is under surveillance.
Do Tom labora?,Where does Tom work?
Me ama libros.,I love books.
Do la gato es?,Where's the cat?
Me ama la sol.,I love the sun.
Leje plase me.,I enjoy reading.
Tom va cosini.,Tom will cook.
Vos vole veni?,Would you like to come?
Abri vosa cor.,Open your heart.
Nos no acorda.,We don't get along.
Nos es enemis.,We're enemies.
La lupo ulula.,The wolf howls.
Un lupo ulula.,A wolf is howling.
El es un xica.,She's a girl.
Merda de bove.,Bullshit.
Ci es la xico?,Who is the boy?
La gato dormi.,The cat sleeps.
El gusta vino.,She likes wine.
Tom ia abitua.,Tom got hooked.
Tom ia skrive.,Tom was writing.
Nos ia studia.,We were studying.
Tu ia descome?,Did you throw up?
Me come favas.,I'm eating beans.
Lo neva forte.,It's really snowing.
Do es acel du?,Where are those two?
Tom no scrive.,Tom isn't writing.
Nos ave tempo.,We have time.
Me es ensinta.,I am pregnant.
Tom ia acrupi.,Tom crouched.
Me va mata tu.,I'll kill you.
Me va mata el.,I'll kill him.
Vos es nervosa.,You're nervous.
Los es silente.,They're quiet.
Maria es ativa.,Mary is vivacious.
Bonveni a casa.,Welcome home.
Bonveni a Nion.,Welcome to Japan.
El ave du fias.,He has two daughters.
Me ave du fias.,I have two daughters.
Tua fia es asi?,Is your daughter here?
Esce el es asi?,Is she here?
Nos no es rica.,We're not wealthy.
Asta plu tarda!,See you later!
Asta plu tarda.,See you later.
Los compra pan.,They buy bread.
Nos compra pan.,We buy bread.
Me pote espeta.,I can wait.
Me no va sorti.,I'm not going out.
Esce tu es asi?,Are you here?
On va invia tu.,You'll be envied.
La fem es bela.,She is beautiful.
La fem es bela?,Is she beautiful?
Ta ce nos vade!,Let's go!
El teme la mar.,He's afraid of the sea.
Mea nom es Jac.,My name is Jack.
Me sabe tu nom.,I know your name.
Flota es fasil.,It is easy to swim.
Me ama la neva.,I love snow.
Me pensa ce si.,I think so.
Esta es dejeto.,That's trash.
Mostra lo a me.,Show it to me.
Me va es padre.,I'm going to be a father.
Me ia es felis.,I was happy.
Me gusta tenis.,I like tennis.
Tenis plase me.,I like tennis.
Bonveni a Xina!,Welcome to China!
Esta can es ge.,This dog is gay.
El finje es ge.,He pretends to be gay.
Lasa me en pas!,Leave me alone!
Dona pas a nos!,Grant us peace!
"Si, lo es vera!","Yes, it's true!"
Fa lo tu mesma.,Do it yourself.
Me gusta brode.,I enjoy embroidering.
Tom usa peruca.,Tom wears a wig.
Los ama musica.,They love music.
Los ia vide el.,They saw her.
Los ia vide tu.,They saw you.
Rusia ia velia.,Russia has woken up.
Rusia es vasta.,Russia is huge.
Me es en Rusia.,I am in Russia.
La tas es plen.,The cup is full.
Me vade a leto.,I'm going to bed.
Me odia la sol.,I hate the sun.
La sol es jala.,The sun is yellow.
La pex es cara.,Fish is expensive.
Do la libro es?,Where is the book?
Tom gida secur.,Tom drives safely.
Tom gida lenta.,Tom drives slowly.
Me ave un auto.,I have a car.
Cadun ia dansa.,Everybody danced.
Du femes canta.,Two women sing.
Nos es ansiosa.,We're worried.
Nos va esamina.,We'll check.
Me ama tua fio.,I love your son.
Clui tua libro.,Close your book.
Escuta tua cor.,Listen to your heart.
No person cura.,No one cares.
Tom es tua ami.,Tom is your friend.
La eras es mea.,The mistakes are mine.
El ama la cafe.,He loves coffee.
Tota es barata.,Everything is cheap.
Resta do tu es.,Stay where you are.
Resta do tu es!,Stay where you are!
El es un furor.,He is a thief.
Me es un pexor.,I'm a fisher.
Algun ia canta.,Someone sang.
Tom ia abri lo.,Tom opened it.
Tom ia clui lo.,Tom closed it.
No person mori.,Nobody dies.
Nos es pexores.,We're fishermen.
Tom ia lamenta.,Tom was mourning.
"Tom es asi, si?","Tom is here, isn't he?"
Los peri tempo.,They're wasting time.
Tom ia reclina.,Tom was lying down.
Los vole parti.,They want to leave.
Do es la judor?,Where is the judge?
Tom no va nada.,Tom isn't going to swim.
Tom no lamenta.,Tom isn't grieving.
Esta no es blu?,Isn't this blue?
Cual es un ovn?,What is a UFO?
Nos no ia come.,We haven't eaten.
Los no va pasa!,They will not pass!
Tu parla deutx.,You speak German.
Me no ave mone.,I don't have money.
Tu no ave mone.,You don't have money.
Me no ave auto.,I have no car.
La gato es mor.,The cat is dead.
Los va mata tu!,They'll kill you!
Bonveni a Japan.,Welcome to Japan.
Trae la tua fia.,Bring your daughter.
Esta es mea fia.,This is my daughter.
Nos ave du fias.,We have two daughters.
Los ave du fias.,They have two daughters.
El ave tre fias.,He has three daughters.
Tua fia es alta.,Your daughter's tall.
Cadun ia ama lo.,Everybody loved it.
El no es malada.,He's not sick.
Leje esta libro.,Read this book.
Me ama papilios.,I love butterflies!
La frate scrive.,The brother writes.
Tu es felis asi?,Are you happy here?
Perce tu es asi?,Why are you here?
Me no invia los.,I don't envy them.
On va invia vos.,You'll be envied.
La vive es bela.,Life is beautiful.
Esce el es bela?,Is she beautiful?
La mar es verde.,The sea is green.
Acel mar es blu.,That sea is blue.
La mar es vasta.,The sea is very wide.
Me no es riente.,I'm not laughing.
No parla asurda!,Do not talk nonsense!
Me no es dormos.,I'm not sleepy.
Lo es un barata.,It's a bargain.
Me va resta ala.,I will stay there.
Me es en London.,I am in London.
Me es de London.,I am from London.
Petras no flota.,Stones don't swim.
"Tu nada bon, no?","You swim well, don't you?"
Parla plu lenta.,Talk slower.
Mostra te mesma!,Show yourself!
La gala ia fini.,The show is over.
Mostra los a me.,Show them to me.
Me ia pote aida.,I could help.
Me ta pote aida.,I could help.
Me nesesa pinta.,I need paint.
Mea pel es seca.,My skin is dry.
Me ia jua tenis.,I played tennis.
Do tu jua tenis?,Where do you play tennis?
Me gusta Jonguo.,I like China.
Me es de Jonguo.,I am from China.
El es fortunosa.,She's lucky.
Ave asi tu mone.,Here's your money.
Medita trae pas.,Meditation brings peace.
Me es balgarsce.,I am Bulgarian.
Esce tu recorda?,Do you remember?
Tom va trova lo.,Tom will find it.
Me ia fini aora.,I'm finished now.
Me es brasilera.,I'm Brazilian.
El vole bricola.,She is willing to do odd jobs.
Me gusta musica.,I like music.
Musica plase me.,I like music.
Me vole sola tu.,I only want you.
Los ia vide vos.,They saw you.
Rusia es grande.,Russia is big.
Ta ce nos sorti.,Let's go out.
Lo es calda oji.,It's hot today.
La flor es jala.,The flower is yellow.
Tom pasea lenta.,Tom walks slowly.
La gato fa miau.,The cat meows.
Nos nesesa acua.,We need water.
La acua es clar.,Water is transparent.
Me prepara cafe.,I'm making coffee.
Tom no ave mone.,Tom has no money.
Los es identica.,They're identical.
Me ama mea papa.,I love my dad.
Escuta la pluve.,Listen to the rain.
Do la fresas es?,Where are the strawberries?
Me saborea leje.,I enjoy reading.
Me perde sempre.,I always lose.
Perce me sempre?,Why always me?
El broma sempre.,He is always joking.
Escuta vosa cor.,Listen to your heart.
Me senti strana.,I feel strange.
Me no es malada.,I am not ill.
Me bevi la cafe.,I'm drinking the coffee.
Mea loca es asi.,I belong here.
Tom es vosa ami.,Tom is your friend.
"Tu odia Tom, no?","You hate Tom, right?"
Tom es un facir.,Tom is a fakir.
Los es mentores.,They are liars.
Tu es poliamial?,Are you polyamorous?
Esce lo es roja?,Is it red?
La inverno veni.,Winter is coming.
Tom no pote era.,Tom cannot make mistakes.
Tu aprende eres.,You're learning Irish.
Sami ia prosimi.,Sami approached.
Tu es sin valua.,You're worthless.
Vos ia es seria?,Were you guys serious?
Tom ia gota suo.,Tom dripped with sweat.
On paia bon Tom.,Tom is well-paid.
La aira es bela.,The weather is beautiful.
Nos no ia pasea.,We didn't walk.
Tom no ia sputa.,Tom didn't spit.
Me no es barati.,I'm not Indian.
Esta es un abea.,This is a bee.
Mea nom es Omid.,My name is Omid.
Me es enebriada.,I'm drunk.
Iudisme es bela.,Judaism is beautiful.
Mary ave un can.,Mary has a dog.
Estas es per tu.,These are for you.
Los va mata vos!,They'll kill you!
La gato es felis.,The cat is happy.
Tu es tan amable.,You're so nice.
El ia ave un fia.,He had one daughter.
Tua fia es sieca?,Is your daughter blind?
Tua fias es bela.,Your daughters are beautiful.
Do ia es tua fia?,Where was your daughter?
Maria es tua fia?,Is Mary your daughter?
El reposa a casa.,He is relaxing in his home.
Pasa un dia bela.,Have a good day.
"Frans, me ama tu!","France, I love you!"
Me senti no cosa.,I feel nothing.
Tom conose cadun.,Tom knows everybody.
Tu es noiada asi?,Are you bored here?
Tu es ancora asi?,Are you still here?
Nos ama la belia.,We love beauty.
Tu es multe bela.,You look beautiful.
La natur es bela.,Nature is beautiful.
Me ave un flauta.,I have a flute.
Tu debe desapare.,You have to disappear.
Nun ia dise acel.,Nobody said that.
Un tufa tan bela!,What a beautiful dive!
El sabe nada bon.,He can swim well.
El ia ginia a me.,He gave me a wink.
Me senti adulada.,I feel flattered.
Mostra acel a me.,Show me that.
Un gala tan bela!,What a show!
Me ama acel gala.,I love that show.
El ia es ocupada.,She was busy.
El veni de Cimri.,He comes from Wales.
Me ave bon novas.,I have good news.
Ci ia pinti acel?,Who painted that?
Do vos jua tenis?,Where do you play tennis?
Me telefoni rara.,I rarely talk on the phone.
Bonveni a Jonguo!,Welcome to China!
Txile no es Xina.,Chile is not China.
Nos ia fa un era.,We made a mistake.
Me no bonveni tu.,You're not welcome.
Tom es un om vea.,Tom is an old man.
Nos ia amini bon.,We've become good friends.
Nos ia es asente.,We were absent.
Maria ia es bela.,Mary was beautiful.
Esce vos recorda?,Do you remember?
No clui la porte!,Don't close the door!
Los come no cosa.,They don't eat anything.
Tom porta peruca.,Tom wears a wig.
"Fa un pausa, Tom.","Take a break, Tom."
Esce tu jua xace?,Do you play chess?
La Tera es plana.,The earth is flat.
Nos gusta musica.,We like music.
Musica plase nos.,We like music.
On ia ave musica.,There was music.
Me escuta musica.,I listen to music.
Me studia musica.,I'm studying music.
Me ave du libros.,I have two books.
Me no es tan vea.,I'm not so old.
Dona a me la bal.,Give me the ball.
La erba es verde.,The grass is green.
Esce tu ave lete?,Do you have any milk?
Tom ia bevi lete.,Tom drank milk.
Me leje un libro.,I am reading a book.
Esta va continua.,To be continued.
Me clui la porte.,I'm closing the door.
El scrive libros.,He writes books.
No rompe mea cor.,Don't break my heart.
Tu rompe mea cor.,You're breaking my heart.
Tu es en mea cor.,You are in my heart.
Lo es esta libro.,It's this book.
Tua oios es bela.,Your eyes are beautiful.
Cual es poliamia?,What's polyamory?
Nos parla turces.,We speak Turkish.
La rea debe mori.,The queen must die.
Nos no es enemis.,We aren't enemies.
Vos aprende eres.,You're learning Irish.
El pote veni oji.,He can come today.
Tu es un bon can.,You're a good dog.
Tom ia consentra.,Tom concentrated.
Nos es relatadas.,We're relatives.
Esce esta es blu?,Is this blue?
Esce acel es blu?,Is that blue?
Vos es sin valua.,You're worthless.
Aora tota es bon.,Now all is well.
Tota es aora bon.,Now all is well.
Tota es bon aora.,Now all is well.
Tom no pote aida.,Tom can't help.
Tu es un nudiste?,Are you a nudist?
Tom va es erante.,Tom will be wrong.
Tom no ia scrive.,Tom wasn't writing.
Ann es un animor.,Ann is a cheerleader.
Acel es un lapis.,That is a pencil.
Nos no ave tempo.,We don't have time.
Me vole un dolar.,I want a dollar.
El ave nova auto.,She has a new car.
Maria ave un can.,Mary has a dog.
El es un faxiste.,He's a fascist.
El es nonbinaria.,They're non-binary.
El no come carne.,They don't eat meat.
Lo no come carne.,It doesn't eat meat.
Me no vole carne.,I don't want meat.
Me vole un libro.,I want a book.
Esce el es felis?,Are they happy?
Do es la sala 105?,Where is Room 105?
Cuanto esta custa?,How much does that cost?
Estas aspeta bela.,These look nice.
Tom es tan amable.,Tom is quite likable.
Bonveni a Tatoeba!,Welcome to Tatoeba!
Me ama la mea fia.,I love my daughter.
Me ama la tua fia.,I love your daughter.
Vosa fias es bela.,Your daughters are beautiful.
Estas es tua fias?,Are these your daughters?
"Si, me ave un fia.","Yes, I have a daughter."
Tu parla portuges?,Do you speak Portuguese?
Me gusta papilios.,I like butterflies.
Nos es jardinores.,We're gardeners.
Me no gusta gombo.,I don't like okra.
Tu es solitar asi?,Are you here alone?
Vos es ancora asi?,Are you still here?
Me no invia la om.,I don't envy him.
La stelas es bela.,Stars are beautiful.
La mar no es clar.,The sea is not clear.
Sur cual tu pensa?,What are you thinking about?
El vive en London.,She lives in London.
Me no ave parolas.,I have no words.
Nos ia es tufante.,We were diving.
Un vista tan bela!,What a lovely view!
Cual ia es tu nom?,What was your name?
No palpa me gitar.,Don't touch my guitar.
Esce tu sabe nada?,Can you swim?
Mea frate no nada.,My brother doesn't swim.
Mostra la tu foto.,Show your photograph.
Mostra no pardona.,Show no mercy.
Ci dirije la gala?,Who runs the show?
Me no gusta plaia.,I don't like the beach.
Plaia no plase me.,I don't like the beach.
Tu no va vinse me.,You won't beat me.
Me ama libros vea.,I love old books.
Tom pote aida nos.,Tom can help us.
Tom ia pinti acel.,Tom painted that.
Me ia es pintinte.,I was painting.
Esce tu jua tenis?,Do you play tennis?
Me sabe jua tenis.,I can play tennis.
Me reveni de Xina.,I come from China.
Cual es un meteor?,What is a meteor?
Me a veses patini.,I sometimes skate.
A veses me studia!,I study sometimes!
Dona un pupa a el.,Give her a doll.
Nos no bonveni tu.,You're not welcome.
Me no bonveni vos.,You're not welcome.
Me no ia nase ier.,I wasn't born yesterday.
Cadun mori a fini.,Everyone dies eventually.
Nos emplea no plu.,We are not hiring anymore.
Me no gusta arena.,I don't like sand.
Brosi vosa dentes.,Brush your teeth.
Brosi tua capeles.,Brush your hair.
Nos va fa cambias.,We're going to make changes.
La sangue es roja.,Blood is red.
Me no ave telefon.,I don't have a phone.
La culpa es de tu.,It is you who is to blame.
Tom es un modiste.,Tom is a fashion designer.
Nos va parti aora.,We're leaving right now.
Me ama la sua fia.,I love her daughter.
Cuando acel ia es?,When was that?
Vos es tan amable.,You're so nice.
Nos studia musica.,We study music.
Nos nesesa musica.,We need music.
Me saborea musica.,I enjoy music.
La musica ia sesa.,The music stopped.
Nos escuta musica.,We listen to music.
Cual es la mesaje?,What's the message?
Esta es tua clave.,This is your key.
La libros es peti.,The books are small.
Cual es tua libro?,Which is your book?
El no ave bisicle.,He has no bicycle.
Esta gato es brun.,This cat is brown.
Tom no gusta ovos.,Tom doesn't like eggs.
La gato bevi lete.,The cat drinks milk.
Me ama esta scola.,I love this school.
No person es fame.,Nobody's hungry.
Tu es intelijente.,You're intelligent.
Me no parla arabi.,I don't speak Arabic.
Esce tu vole jelo?,Would you like ice?
Esce tu vole veni?,Would you like to come?
Vos es en mea cor.,You are in my heart.
Lo es vera strana.,It's really weird.
Nos ia dejeta los.,We threw them away.
Tu es un bon gato.,You're a good cat.
Cavalos es animal.,Horses are animals.
Prinsesas no caca.,Princesses don't poop.
Me aprende turces.,I'm learning Turkish.
Tom ave pel oscur.,Tom has dark skin.
El no es como nos.,He's not like us.
Basi la fronteras!,Down with borders!
Nun es interesada.,No one is interested.
Tom ia reclina se.,Tom lay down.
Tom plia sua oios.,Tom is squinting.
Tom ia retarda se.,Tom was delayed.
Me joia solitaria.,I enjoy solitude.
Esce tu ia vomiti?,Did you throw up?
Esce vos es felis?,Are you guys happy?
Esce vos es libre?,Are you guys free?
Tu ia ariva apena?,Did you just arrive?
Tom no ia lamenta.,Tom wasn't grieving.
Mea nom es Yamada.,My name is Yamada.
Naoko es un nador.,Naoko is a swimmer.
Barat es mea pais.,India is my country.
Me aprende frisce.,I'm learning Frisian.
Mea nom es Dilxad.,My name is Dilshad.
La can deveni vea.,The dog's getting old.
Tu ia parla deutx?,Were you speaking German?
El ia vade a casa.,She went home.
Me no ave bisicle.,I do not have a bicycle.
Mea gato es negra.,My cat is black.
Los no come carne.,They don't eat meat.
Los ia fa no cosa.,They didn't do anything.
Me ia debe acorda.,I had to agree.
Sponjas es porosa.,Sponges are porous.
Esce los es felis?,Are they happy?
La aira pare umida.,The air seems damp.
Me debe come lenta.,I must eat slowly.
El es la fia de el.,She's her daughter.
"Tua fia es asi, no?",Is your daughter here?
Mea fia ama musica.,My daughter loves music.
De ci Julia es fia?,Whose daughter is Julia?
Tua fia usa drogas.,Your daughter's on drugs.
Esta es regretable.,This is unfortunate.
Tom nada en la rio.,Tom is swimming in the river.
Me viaja frecuente.,I travel frequently.
Me no invia la fem.,I don't envy her.
Me pote ole la mar.,I can smell the ocean.
La mar ia es calma.,The sea was calm.
La mar es profonda.,The sea is deep.
La barcon es a mar.,The ship is at sea.
Me no es tan serta.,I'm not so sure.
Nansi es de London.,Nancy is from London.
Los no merita mori.,They don't deserve to die.
Me tufa cuasi dial.,I dive almost every day.
Bir conteni lupulo.,Beer contains hops.
El nada tan rapida!,How fast she swims!
Me nada cuasi dial.,I swim almost every day.
Tom maneja un otel.,Tom manages a hotel.
Tom dirije un otel.,Tom manages a hotel.
On no pote fida el.,She can't be trusted.
Tom aprende rapida.,Tom is quick to learn.
Mostra denova a me.,Show me again.
Me gusta vino roja.,I like red wine.
Vino roja plase me.,I like red wine.
Fa un paso a retro.,Take a step back.
Me ia ta pote aida.,I could have helped.
Usa pinta acrilica.,Use acrylic paint.
Esce vos jua tenis?,Do you play tennis?
Me gusta jua tenis.,I like playing tennis.
Esce Ken jua tenis?,Does Ken play tennis?
La femes jua tenis.,The women play tennis.
Nos jua tenis dial.,We play tennis every day.
Me ia veni de Xina.,I came from China.
Esce tu gusta Xina?,Do you like China?
Esce el gusta Xina?,Does he like China?
Me ia ariva a Xina.,I arrived in China.
Nos no bonveni vos.,You're not welcome.
No me lasa solitar!,Don't leave me alone!
El no ama se sposo.,She doesn't love her husband.
Veni la plu pronto.,Come as soon as possible.
A fini Tom va sede.,Tom will eventually give up.
Tom es la seguente.,Tom is next.
Me no es brasilera.,I'm not Brazilian.
El brosi la cavalo.,She brushes the horse.
Con ci Tom ia fuji?,Who did Tom run away with?
Tom desira un poma.,Tom wants an apple.
Esce tu jua a xace?,Do you play chess?
Cadun gusta musica.,Everybody loves music.
Musica plase cadun.,Everybody loves music.
Esce tu ama musica?,Do you love music?
Nansi gusta musica.,Nancy likes music.
Musica plase Nansi.,Nancy likes music.
Acel libro es peti.,That book is small.
La platos es susia.,The plates are dirty.
Esta loca es santa.,This place is sacred.
Ave asi sua libros.,Here are their books.
Esce vos sabe gida?,Do you know how to drive?
Me es bolinte acua.,I am boiling water.
Tom ia velia Maria.,Tom woke Mary up.
Los ia proba evade.,They tried to escape.
La libro es grande.,The book is big.
La libro es blanca.,The book's white.
Esce vos vole jelo?,Would you like ice?
Esce vos vole veni?,Would you like to come?
Tu ia fura mea cor.,You stole my heart.
Me ia nase en 1933.,I was born in 1933.
Me no parla turces.,I don't speak Turkish.
Nos ia baldoni los.,We threw them away.
Putin es un pixeta!,Putin is a dickhead!
Esta no es un pipa.,This is not a pipe.
Tom conose cavalos.,Tom knows horses.
Tom es multe corta.,Tom is very short.
Me odia esta mundo.,I hate this world.
Tota gatos es bela.,All cats are beautiful.
Sami ave pel oscur.,Sami is dark-skinned.
Nos va vade con tu.,We'll go with you.
Me no ave un sposa.,I don't have a wife.
Aboli la fronteras!,Down with borders!
El es un mal gidor.,He is a bad driver.
Me ia mata la bove.,I killed the cow.
Tom ia deveni muda.,Tom has become mute.
Tom ia es ofendeda.,Tom was offended.
Tom es descapasida.,Tom is disabled.
Me espeta detalias.,I expect details.
Me gusta solitaria.,I enjoy solitude.
El gusta Lago Maxu.,She likes Lake Mashuu.
Esce tu ia descome?,Did you throw up?
Acel ta es asasina.,That'd be murder.
On ia ateni la gol.,The goal was achieved.
Esta es un megafon.,This is a megaphone.
Perce Tom ia ajena?,Why was Tom kneeling?
Perce Tom ia coxea?,Why was Tom limping?
Keiko es un cantor.,Keiko is a singer.
Esta es un mascita?,Is this a mosque?
Me es en la laboro.,I'm at work.
Me no es enebriada.,I'm not drunk.
Esce tu ia mata el?,Did you kill him?
Do es la tua camera?,Where is your room?
Judi es intelijente.,Judy is smart.
Los ave fias jemelo.,They have twin daughters.
Me ia sposi mea fia.,I married my daughter.
Me ama la fia de el.,I love her daughter.
Esce tua fia es asi?,Is your daughter here?
Me adora la tua fia.,I adore your daughter.
Ta ce nos improvisa.,Let's improvise.
Ta ce esta no aveni.,Let's not let that happen.
Me gusta cafe calda.,I like hot coffee.
Cual animal es acel?,What animal is that?
Cada can ave un nom.,Every dog has a name.
Ci ia fa prima esta?,Who did this first?
La xica brincacorda.,She is skipping rope.
Esce tu es nova asi?,Are you new here?
Tu es bonvenida asi.,You are welcome here.
La belia es sujetal.,Beauty is subjective.
Esce la fem es bela?,Is she beautiful?
Tom canta multe bon.,Tom sings beautifully.
La mar ia es vitrin.,The sea was glassy.
Do tu compra vestes?,Where do you buy clothes?
Tom ia es deportada.,Tom was deported.
Dise a Tom la veria.,Tell the truth to Tom.
Como tu ia descovre?,How did you find out?
Esta es de me padre.,This is my father's.
Acel no es orijinal.,That's not original.
Suscrive tu nom ala.,Sign your name there.
Tom ia usa un masca.,Tom wore a mask.
El nada como un pex.,He swims like a fish.
Me sobrina es curor.,My niece is a nurse.
Me no vide multe el.,I don't see him much.
Mostra la tu cartas.,Show your cards.
Mostra plu detalias.,Show more details.
Mostra la mone a me.,Show me the money.
Ioco es un nom nion.,Yoko is a Japanese name.
Suspende la depinto.,Hang the painting.
Jane jua tenis ance.,Jane plays tennis too.
Tu ia jua tenis ier.,You played tennis yesterday.
Ta ce nos jua tenis!,Let's play tennis!
Akira jua bon tenis.,Akira plays tennis well.
Kumi jua tenis aora.,Kumi is playing tennis now.
Cuando tu jua tenis?,When do you play tennis?
Cuando el jua tenis?,When does he play tennis?
Me cuasi nunca nada.,I hardly ever swim.
Tom cuasi nunca rie.,Tom hardly ever laughs.
Acel caxa es pesosa.,That box is heavy.
Me reveni de Jonguo.,I come from China.
Me gusta multe Xina.,I really like China.
Me ave un visina ge.,I have a gay neighbor.
Tom es un bon sposo.,Tom is a good husband.
Me odia rompetestas.,I hate riddles.
Esce tu veni con me?,Are you coming with me?
On repara la strada.,The road is under repair.
Cuando vos ia amini?,When did you become friends?
La ami ia es asente.,The friend was absent.
Tom ia dormi pasosa.,Tom slept peacefully.
"An tal, el ia fa lo.",He did it anyway.
Lo no ia es tan mal.,It wasn't all that bad.
A fini el ia susede.,"Eventually, she succeeded."
A fini Tom ia parti.,Tom eventually left.
El es no plu ca nun.,He is a mere nobody.
Sesa es tan sentosa.,Stop being so emotional.
Tom no ave puntetas.,Tom doesn't have freckles.
El brosi sua dentes.,He brushes his teeth.
Perce tu oposa esta?,Why are you opposed to this?
Esce tu ave un sore?,Do you have a sister?
Tom ia nase en 2013.,Tom was born in 2013.
Sua nom vera es Tom.,His real name is Tom.
Tom no come un poma.,Tom isn't eating an apple.
Nos sabe ce tu dole.,We know you're in pain.
Me crede seria esta.,I honestly believe this.
Lo ia aida multe me!,It helped me a lot!
Disputa es nonusosa.,It's useless to argue.
Sua fia es un curor.,His daughter is a nurse.
Cuando nos va ariva?,When do we arrive?
De cuando tu es asi?,Since when you have been here?
El comprende musica.,She understands music.
Me gusta musica pop.,I like pop music.
Musica pop plase me.,I like pop music.
El ia escuta musica.,He was listening to music.
Esce Tom ia dementi?,Has Tom become crazy?
